"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1982/07/01","00:00","0.533","0.259","0.131","-0.137","-0.146","-0.421","-0.601","-0.881","0"
"1982/08/01","00:00","0.744","0.293","0.164","-0.11","-0.116","-0.396","-0.546","-0.722","0"
"1982/09/01","00:00","0.494","0.323","0.219","-0.064","-0.07","-0.363","-0.479","-0.698","0"
"1982/10/01","00:00","0.481","0.296","0.232","-0.043","-0.049","-0.332","-0.454","-0.686","0"
"1982/11/01","00:00","0.616","0.296","0.204","-0.07","-0.076","-0.354","-0.534","-1.11","0"
"1982/12/01","00:00","0.655","0.296","0.18","-0.095","-0.098","-0.378","-0.588","-0.945","0"
"1983/01/01","00:00","0.545","0.244","0.119","-0.156","-0.165","-0.448","-0.64","-0.948","0"
"1983/02/01","00:00","0.616","0.228","0.116","-0.162","-0.165","-0.445","-0.61","-1.167","0"
"1983/03/01","00:00","0.747","0.286","0.192","-0.101","-0.104","-0.399","-0.53","-0.908","0"
"1983/04/01","00:00","0.643","0.232","0.137","-0.162","-0.168","-0.469","-0.61","-0.875","0"
"1983/05/01","00:00","0.512","0.283","0.18","-0.101","-0.104","-0.384","-0.573","-0.78","0"
"1983/06/01","00:00","0.451","0.293","0.164","-0.113","-0.116","-0.396","-0.598","-0.918","0"
"1983/07/01","00:00","0.506","0.296","0.168","-0.107","-0.11","-0.387","-0.567","-0.911","0"
"1983/08/01","00:00","0.545","0.305","0.183","-0.095","-0.101","-0.384","-0.527","-0.796","0"
"1983/09/01","00:00","0.637","0.317","0.21","-0.07","-0.076","-0.366","-0.503","-0.695","0"
"1983/10/01","00:00","0.591","0.353","0.271","-0.015","-0.024","-0.317","-0.46","-0.753","0"
"1983/11/01","00:00","0.847","0.353","0.256","-0.021","-0.028","-0.308","-0.469","-0.756","0"
"1983/12/01","00:00","0.527","0.186","0.055","-0.213","-0.213","-0.482","-0.695","-1.103","0"
"1984/01/01","00:00","0.573","0.204","0.067","-0.217","-0.217","-0.497","-0.713","-1.125","0"
"1984/02/01","00:00","0.457","0.161","0.07","-0.235","-0.253","-0.573","-0.722","-1.015","0"
"1984/03/01","00:00","0.597","0.177","0.104","-0.21","-0.213","-0.534","-0.665","-0.96","0"
"1984/04/01","00:00","0.439","0.225","0.149","-0.149","-0.156","-0.457","-0.594","-0.908","0"
"1984/05/01","00:00","0.555","0.244","0.143","-0.159","-0.162","-0.466","-0.649","-0.991","0"
"1984/06/01","00:00","0.558","0.353","0.21","-0.076","-0.079","-0.369","-0.576","-0.875","0"
"1984/07/01","00:00","0.6","0.375","0.244","-0.052","-0.061","-0.363","-0.558","-0.835","0"
"1984/08/01","00:00","0.509","0.326","0.213","-0.067","-0.073","-0.36","-0.515","-0.86","0"
"1984/09/01","00:00","0.564","0.35","0.256","-0.028","-0.04","-0.332","-0.457","-0.661","0"
"1984/10/01","00:00","0.664","0.363","0.28","-0.009","-0.012","-0.305","-0.448","-0.683","0"
"1984/11/01","00:00","0.597","0.274","0.186","-0.079","-0.085","-0.357","-0.509","-1.128","0"
"1984/12/01","00:00","0.463","0.259","0.143","-0.125","-0.128","-0.402","-0.61","-0.954","0"
"1985/01/01","00:00","0.509","0.241","0.1","-0.168","-0.171","-0.442","-0.625","-1.061","0"
"1985/02/01","00:00","0.515","0.171","0.07","-0.232","-0.232","-0.534","-0.689","-1.003","0"
"1985/03/01","00:00","0.39","0.171","0.094","-0.207","-0.223","-0.537","-0.655","-0.982","0"
"1985/04/01","00:00","0.396","0.198","0.113","-0.192","-0.195","-0.506","-0.652","-0.93","0"
"1985/05/01","00:00","0.442","0.268","0.174","-0.122","-0.125","-0.424","-0.607","-0.896","0"
"1985/06/01","00:00","0.533","0.305","0.171","-0.122","-0.119","-0.409","-0.631","-0.924","0"
"1985/07/01","00:00","0.588","0.317","0.18","-0.107","-0.107","-0.396","-0.588","-0.911","0"
"1985/08/01","00:00","1.256","0.414","0.293","0.009","-0.006","-0.308","-0.427","-0.732","0"
"1985/09/01","00:00","0.744","0.338","0.238","-0.031","-0.046","-0.326","-0.454","-0.732","0"
"1985/10/01","00:00","0.954","0.445","0.372","0.061","0.067","-0.235","-0.393","-0.668","0"
"1985/11/01","00:00","0.664","0.338","0.222","-0.043","-0.049","-0.317","-0.53","-0.866","0"
"1985/12/01","00:00","0.811","0.225","0.082","-0.186","-0.186","-0.457","-0.674","-1.113","0"
"1986/01/01","00:00","0.57","0.155","0.043","-0.244","-0.247","-0.534","-0.722","-1.143","0"
"1986/02/01","00:00","0.576","0.207","0.128","-0.198","-0.201","-0.53","-0.674","-0.881","0"
"1986/03/01","00:00","0.512","0.155","0.046","-0.271","-0.281","-0.61","-0.75","-1.14","0"
